Position_Power(dBm)
150.0000,-15.7470
300.0000,-15.7470
450.0000,-15.7880
600.0000,-15.8010
750.0000,-15.7690
900.0000,-15.6930
1050.0000,-15.6910
1200.0000,-15.6990
1350.0000,-15.7390
1500.0000,-15.7910
1650.0000,-15.8030
1800.0000,-15.8300
1950.0000,-15.6820
2100.0000,-15.7200
2250.0000,-15.7590
2400.0000,-15.8280
2550.0000,-15.9830
2700.0000,-16.0810
2850.0000,-16.5210
3000.0000,-17.0980
3150.0000,-17.6760
3300.0000,-18.1090
3450.0000,-18.7870
3600.0000,-19.2910
3750.0000,-19.4430
3900.0000,-19.5910
4050.0000,-19.7370
4200.0000,-19.7440
4350.0000,-19.7390
4500.0000,-19.7690
4650.0000,-19.7810
4800.0000,-19.7900
4950.0000,-19.8220
5100.0000,-19.8050
5250.0000,-19.8120
5400.0000,-19.8080
5550.0000,-19.7710
5700.0000,-19.7520
5850.0000,-19.7730
6000.0000,-19.7780
