Position_Power(dBm)
150.0000,-20.5990
300.0000,-20.5870
450.0000,-20.5610
600.0000,-20.5760
750.0000,-20.5390
900.0000,-20.5230
1050.0000,-20.5360
1200.0000,-20.5240
1350.0000,-20.5460
1500.0000,-20.5570
1650.0000,-20.4630
1800.0000,-20.5910
1950.0000,-20.4200
2100.0000,-20.1850
2250.0000,-19.9110
2400.0000,-19.4810
2550.0000,-18.6570
2700.0000,-18.1830
2850.0000,-17.7570
3000.0000,-17.3710
3150.0000,-17.1010
3300.0000,-16.6250
3450.0000,-16.5360
3600.0000,-16.3850
3750.0000,-16.3080
3900.0000,-16.2660
4050.0000,-16.2290
4200.0000,-16.2330
4350.0000,-16.2820
4500.0000,-16.3600
4650.0000,-16.2800
4800.0000,-16.2360
4950.0000,-16.2220
5100.0000,-16.1300
5250.0000,-16.2520
5400.0000,-16.2680
5550.0000,-16.2510
5700.0000,-16.1730
5850.0000,-16.1920
6000.0000,-16.0850
