Position_Power(dBm)
150.0000,-15.7040
300.0000,-15.6740
450.0000,-15.7620
600.0000,-15.8210
750.0000,-15.8880
900.0000,-15.8880
1050.0000,-15.8340
1200.0000,-15.8440
1350.0000,-15.7890
1500.0000,-15.8220
1650.0000,-15.9130
1800.0000,-15.8120
1950.0000,-15.7960
2100.0000,-15.9420
2250.0000,-16.2250
2400.0000,-16.3900
2550.0000,-16.5170
2700.0000,-16.8320
2850.0000,-17.3280
3000.0000,-17.6850
3150.0000,-18.1870
3300.0000,-18.7530
3450.0000,-19.2030
3600.0000,-19.4950
3750.0000,-19.7260
3900.0000,-19.8970
4050.0000,-19.9460
4200.0000,-20.0120
4350.0000,-20.0090
4500.0000,-20.0690
4650.0000,-20.0620
4800.0000,-20.0840
4950.0000,-20.0690
5100.0000,-20.0940
5250.0000,-20.0570
5400.0000,-20.0730
5550.0000,-20.0980
5700.0000,-20.0570
5850.0000,-20.0930
6000.0000,-20.0920
