Position_Power(dBm)
150.0000,-20.0150
300.0000,-20.0280
450.0000,-20.0230
600.0000,-20.0190
750.0000,-20.0370
900.0000,-20.0470
1050.0000,-20.0430
1200.0000,-20.0640
1350.0000,-20.0700
1500.0000,-20.0240
1650.0000,-20.0470
1800.0000,-19.8390
1950.0000,-19.8590
2100.0000,-19.6160
2250.0000,-19.2320
2400.0000,-18.7140
2550.0000,-18.3580
2700.0000,-17.8360
2850.0000,-17.3300
3000.0000,-16.8650
3150.0000,-16.2380
3300.0000,-16.0670
3450.0000,-15.9600
3600.0000,-16.0180
3750.0000,-16.1010
3900.0000,-16.0910
4050.0000,-16.0100
4200.0000,-15.8850
4350.0000,-15.8610
4500.0000,-15.8750
4650.0000,-15.7830
4800.0000,-15.9080
4950.0000,-15.9610
5100.0000,-15.8580
5250.0000,-15.7680
5400.0000,-15.8560
5550.0000,-15.9100
5700.0000,-15.9040
5850.0000,-15.9450
6000.0000,-15.9080
