Position_Power (dBm)
150.0000,-14.6470,-1.3750
300.0000,-14.5440,-1.3980
450.0000,-13.5980,-1.4050
600.0000,-13.1880,-1.3930
750.0000,-13.2020,-1.3930
900.0000,-13.1760,-1.4120
1050.0000,-13.8720,-1.3720
1200.0000,-14.6140,-1.3530
1350.0000,-14.6560,-1.6810
1500.0000,-14.7070,-1.3610
1650.0000,-14.5240,-1.2760
1800.0000,-14.2430,-1.3070
1950.0000,-13.5060,-1.3050
2100.0000,-13.1990,-1.3130
2250.0000,-13.1910,-1.3640
2400.0000,-14.3470,-1.3090
2550.0000,-14.9510,-1.3090
2700.0000,-15.1010,-1.3550
2850.0000,-15.4430,-1.4270
3000.0000,-15.1240,-1.5230
3150.0000,-14.4000,-1.6810
3300.0000,-14.3660,-1.9210
3450.0000,-14.7390,-2.1860
3600.0000,-15.2050,-2.4880
3750.0000,-15.6950,-2.7350
3900.0000,-16.1590,-2.9060
4050.0000,-16.5560,-3.0060
4200.0000,-16.8390,-2.9770
4350.0000,-17.0740,-2.9900
4500.0000,-17.1580,-2.9610
4650.0000,-17.1910,-2.9660
4800.0000,-17.2390,-2.9340
4950.0000,-17.2690,-3.0010
5100.0000,-17.2880,-2.9870
5250.0000,-17.2950,-3.0140
5400.0000,-17.2860,-2.9710
5550.0000,-17.3030,-2.9390
5700.0000,-17.3040,-2.9820
5850.0000,-17.3060,-3.0140
6000.0000,-17.3200,-3.0260
