Position_Power (dBm)
150.0000,-13.3330,0.5060
300.0000,-13.2970,0.0500
450.0000,-13.2610,0.0620
600.0000,-13.4160,0.2430
750.0000,-13.4650,0.1540
900.0000,-14.0450,0.1230
1050.0000,-15.0300,0.0340
1200.0000,-15.0990,0.1340
1350.0000,-14.9820,0.0800
1500.0000,-13.8240,0.2200
1650.0000,-13.2980,0.1540
1800.0000,-13.9020,0.1670
1950.0000,-14.6460,0.2310
2100.0000,-14.0830,0.1950
2250.0000,-13.5380,0.2600
2400.0000,-13.5980,0.1680
2550.0000,-13.9230,0.3460
2700.0000,-14.3400,0.2990
2850.0000,-14.6730,0.1170
3000.0000,-15.5660,0.2560
3150.0000,-18.0040,0.0220
3300.0000,-16.7120,2.2440
3450.0000,-17.1180,1.8240
3600.0000,-17.6450,2.4410
3750.0000,-17.6080,2.8170
3900.0000,-17.3210,0.2320
4050.0000,-17.3060,0.9680
4200.0000,-17.3630,-0.1830
4350.0000,-17.3320,0.2140
4500.0000,-17.5070,-0.2270
4650.0000,-17.5310,0.7130
4800.0000,-17.3920,0.1640
4950.0000,-17.3700,-0.2760
5100.0000,-17.6060,0.8030
5250.0000,-17.3490,-0.2760
5400.0000,-17.3330,-0.3000
5550.0000,-17.3090,-0.4370
5700.0000,-17.3220,-0.3930
5850.0000,-17.3190,-0.5040
6000.0000,-17.3260,-0.4460
