Position_Power (dBm)
150.0000,-17.3170,-5.4450
300.0000,-17.3000,-4.0370
450.0000,-17.2800,-3.9800
600.0000,-17.2790,-4.0160
750.0000,-17.2750,-3.8650
900.0000,-17.2690,-3.4110
1050.0000,-17.2520,-3.2450
1200.0000,-17.2450,-3.2430
1350.0000,-17.2230,-3.2000
1500.0000,-17.2110,-3.2100
1650.0000,-17.1740,-3.1880
1800.0000,-17.0600,-3.1880
1950.0000,-16.9220,-4.2230
2100.0000,-16.6280,-5.9090
2250.0000,-16.3020,-5.4760
2400.0000,-15.8730,-5.0530
2550.0000,-15.4120,-4.9680
2700.0000,-14.9460,-4.2410
2850.0000,-14.4300,-3.7430
3000.0000,-14.0350,-3.1990
3150.0000,-13.7990,-3.1070
3300.0000,-13.5030,-2.8900
3450.0000,-13.4200,-2.5260
3600.0000,-13.3680,-3.7220
3750.0000,-13.2030,-5.1860
3900.0000,-13.7040,-2.2550
4050.0000,-15.1130,-1.8510
4200.0000,-15.0830,-1.7300
4350.0000,-14.7830,-1.9140
4500.0000,-14.5850,-1.6530
4650.0000,-13.8530,-1.6890
4800.0000,-13.2510,-1.7370
4950.0000,-13.2210,-1.5370
5100.0000,-13.2070,-1.4190
5250.0000,-13.2180,-1.4520
5400.0000,-13.1720,-1.4100
5550.0000,-14.1670,-1.3340
5700.0000,-14.8940,-1.3550
5850.0000,-14.6250,-1.3990
6000.0000,-14.0670,-1.4140
