Position_Power(dBm)
150.0000,-14.5470
300.0000,-14.5470
450.0000,-14.5460
600.0000,-14.5440
750.0000,-14.5400
900.0000,-14.5400
1050.0000,-14.5390
1200.0000,-14.5370
1350.0000,-14.5350
1500.0000,-14.5330
1650.0000,-14.5290
1800.0000,-14.5250
1950.0000,-14.5210
2100.0000,-14.5210
2250.0000,-14.5180
2400.0000,-14.5040
2550.0000,-14.4710
2700.0000,-14.4120
2850.0000,-14.3090
3000.0000,-14.1670
3150.0000,-13.9950
3300.0000,-13.8230
3450.0000,-13.6710
3600.0000,-13.5510
3750.0000,-13.4680
3900.0000,-13.4110
4050.0000,-13.3820
4200.0000,-13.3580
4350.0000,-13.3450
4500.0000,-13.3350
4650.0000,-13.3290
4800.0000,-13.3260
4950.0000,-13.3260
5100.0000,-13.3260
5250.0000,-13.3240
5400.0000,-13.3230
5550.0000,-13.3210
5700.0000,-13.3220
5850.0000,-13.3210
6000.0000,-13.3220
