Position_Power(dBm)
150.0000,-20.8050
300.0000,-20.8120
450.0000,-20.8030
600.0000,-20.7780
750.0000,-20.7720
900.0000,-20.7910
1050.0000,-20.8040
1200.0000,-20.7750
1350.0000,-20.7700
1500.0000,-20.7400
1650.0000,-20.7260
1800.0000,-20.6900
1950.0000,-20.7290
2100.0000,-20.6140
2250.0000,-20.4750
2400.0000,-20.2610
2550.0000,-19.7840
2700.0000,-19.2090
2850.0000,-18.6990
3000.0000,-18.0070
3150.0000,-17.3310
3300.0000,-16.9540
3450.0000,-16.7090
3600.0000,-16.6080
3750.0000,-16.6180
3900.0000,-16.6350
4050.0000,-16.6120
4200.0000,-16.6370
4350.0000,-16.6400
4500.0000,-16.6160
4650.0000,-16.6520
4800.0000,-16.6720
4950.0000,-16.6580
5100.0000,-16.6750
5250.0000,-16.6910
5400.0000,-16.7150
5550.0000,-16.7440
5700.0000,-16.6970
5850.0000,-16.6760
6000.0000,-16.6530
