Position_Power(dBm)
150.0000,-19.0290
300.0000,-19.0290
450.0000,-19.0280
600.0000,-19.0260
750.0000,-19.0280
900.0000,-19.0260
1050.0000,-19.0250
1200.0000,-19.0200
1350.0000,-19.0160
1500.0000,-19.0130
1650.0000,-18.9990
1800.0000,-18.9710
1950.0000,-18.9220
2100.0000,-18.8250
2250.0000,-18.6610
2400.0000,-18.4090
2550.0000,-18.0760
2700.0000,-17.6770
2850.0000,-17.2160
3000.0000,-16.7530
3150.0000,-16.3330
3300.0000,-16.0270
3450.0000,-15.7530
3600.0000,-15.4290
3750.0000,-15.2080
3900.0000,-15.0840
4050.0000,-15.0030
4200.0000,-14.9580
4350.0000,-14.9350
4500.0000,-14.9280
4650.0000,-14.9210
4800.0000,-14.9260
4950.0000,-14.9740
5100.0000,-15.0450
5250.0000,-14.9850
5400.0000,-14.9360
5550.0000,-14.9220
5700.0000,-14.9230
5850.0000,-14.9430
6000.0000,-14.9370
